NAMA DESA;IKS;IKE;IKL;IDM;Status
LILIAMA;0,6857;0,3833;0,6667;0,5786;1
NAIWEL AHINULIN;0,6571;0,4;0,6667;0,5746;1
NAYET;0,4686;0,4167;0,6667;0,5173;1
POLIN;0,5886;0,4;0,6667;0,5517;1
SABUAI;0,6514;0,4167;0,6667;0,5783;1
TUNSAI;0,64;0,4167;0,6667;0,5744;1
BELLIS;0,6286;0,2333;0,8667;0,5762;1
BOINFIA;0,4571;0,2333;0,6667;0,4524;0
DAWANG;0,4686;0,3167;0,8;0,5284;1
KAMPUNG BARU;0,4857;0,2333;0,6667;0,4619;0
KARAY;0,52;0,1833;0,9333;0,5456;1
MADAK;0,5714;0,2667;0,8667;0,5683;1
NAMA ANDAN;0,4971;0,1833;0,6667;0,449;0
NAMA LENA;0,4514;0,2;0,6667;0,4394;0
SOLANG;0,4914;0,1833;0,6667;0,4471;0
TUBIR WASIWANG;0,5029;0,3;0,6667;0,4898;0
DURYAR RUMOY;0,7314;0,4;0,2;0,4438;0
KAMPUNG BARU;0,64;0,2;0,6667;0,5022;1
KAMPUNG TENGAH WERMAF;0,7486;0,35;0,6667;0,5884;1
KARLOKIN;0,56;0,2833;0,8667;0,57;1
KARTUTIN KARTENGA;0,5714;0,3167;0,2667;0,3849;0
KER KER;0,6286;0,3667;0,2;0,3984;0
KILIWOUW;0,5543;0,2833;0,8667;0,5681;1
LAPANG KAMPUNG JAWA;0,5943;0,3;0,6667;0,5203;1
MAMUR;0,6457;0,3;0,6667;0,5375;1
TEOR;0,6057;0,3167;0,2;0,3741;0
BATI KILWOUW;0,56;0,1833;0,6667;0,47;0
GAH;0,5086;0,3833;0,8667;0,5862;1
KUFAR;0,5657;0,2833;0,8667;0,5719;1
SESAR;0,5943;0,3167;0,8;0,5703;1
TARUY;0,5829;0,3167;0,6667;0,5221;1
AMARLAUT;0,6914;0,2833;0,6667;0,5471;1
EFFA;0,6343;0,2833;0,6667;0,5281;1
GULIAR;0,6514;0,2833;0,6667;0,5338;1
ILILI;0,6057;0,35;0,6;0,5186;1
KARLOMIN;0,64;0,25;0,6667;0,5189;1
KELANGAN;0,5714;0,2833;0,6667;0,5071;1
KELDOR;0,6457;0,25;0,6667;0,5208;1
KILBUTAK;0,6286;0,3167;0,6667;0,5373;1
KURWARA;0,6343;0,2667;0,6667;0,5225;1
OTADEMAN;0,6057;0,35;0,5333;0,4963;1
RUMA DURUN;0,5829;0,35;0,6;0,511;1
TAMHER WARAT;0,7029;0,35;0,6667;0,5732;1
TANA SOA;0,5771;0,2833;0,6667;0,509;1
UTTA;0,6629;0,25;0,6667;0,5265;1
WUNIN ELDEDORA;0,5714;0,3833;0,6667;0,5405;1
FUNA NAIBAYA;0,4686;0,3;0,6;0,4562;0
GUSALAUT;0,6457;0,3833;0,6667;0,5652;1
HATUIMETEN;0,52;0,3167;0,6667;0,5011;1
OSONG;0,5543;0,3167;0,4667;0,4459;0
TOBO;0,56;0,25;0,6667;0,4922;1
TUM;0,5257;0,3833;0,6;0,503;1
DOFA;0,64;0,3833;0,6;0,5411;1
JOHOR;0,5029;0,3833;0,6;0,4954;1
LEKOKADAI;0,5314;0,3333;0,6;0,4883;0
LEKOSULA;0,5714;0,3167;0,6667;0,5183;1
LELYABA;0,5314;0,3167;0,6667;0,5049;1
PAS IPA;0,6229;0,3167;0,6667;0,5354;1
PELITA;0,4686;0,3167;0,6;0,4617;0
AUPONHIA;0,7086;0,2833;0,6667;0,5529;1
BUYA;0,7829;0,2833;0,6;0,5554;1
KAPORO;0,7029;0,3167;0,6667;0,5621;1
WAIKAFIA;0,7257;0,2833;0,6667;0,5586;1
WAILAB;0,6857;0,2833;0,6667;0,5452;1
BURUAKOL;0,5771;0,2167;0,6667;0,4868;0
CAPALULU;0,6286;0,3833;0,6667;0,5595;1
JERE;0,6343;0,3167;0,6;0,517;1
PASLAL;0,7086;0,3333;0,6;0,5473;1
